Name,Height,School
Ahmed Algendy,73,York College
Aanas Aybakar,72,York College
George Molina,72,York College
Wood-by Paulemont,69,York College
Richard Reyes,66,York College
Jeremy Sapeg,70,York College
Alex Winter,72,York College
Ethan Abramov,73,Baruch College
Adam Byrne,73,Baruch College
Dylan Cellamare,67,Baruch College
Floyd Diaz,70,Baruch College
Vicent Dominguez Romero,70,Baruch College
Youssef  Elkhouly,75,Baruch College
Ramiel Fayngersh,71,Baruch College
Eric Goldshteyn,68,Baruch College
Michael Guzman,70,Baruch College
Christos Hamakiotes,69,Baruch College
Duncan Huie,69,Baruch College
Samuel Liao,65,Baruch College
Jordan Lin,69,Baruch College
Eric Mayzlin,65,Baruch College
Sami Rahman,70,Baruch College
Maxim Reznik,71,Baruch College
Luca Shapiro,69,Baruch College
Gregory Terentyev,67,Baruch College
Valentyn Titarenko,71,Baruch College
Leonardo Valdivia,68,Baruch College
Daniel Vasilkoff,71,Baruch College
Lucas Vasquez,72,Baruch College
Stuart Xu,65,Baruch College
Daniel Yadgarov,72,Baruch College
Aziz Abdusamiev,75.0,Brooklyn College
Ryan Badre-Hume,74.0,Brooklyn College
Max Bratkovsky,69.0,Brooklyn College
Aaron Brijbukhan,73.0,Brooklyn College
Zurab Chkhartishvili,73.0,Brooklyn College
Alvaro Gonzalez,69.0,Brooklyn College
James Lee,68.0,Brooklyn College
Joshua Natanzon,72.0,Brooklyn College
Simeon Shkoruta,67.0,Brooklyn College
Erik Umkeev,72.0,Brooklyn College
Ryan Boeding,74.0,Lindenwood University
Noah Boyd,68.0,Lindenwood University
Johan Cue Carrillo,73.0,Lindenwood University
Trevor Danner,73.0,Lindenwood University
Mattia Giurgevich,76.0,Lindenwood University
Eric Hansson,72.0,Lindenwood University
Tait Harvey,73.0,Lindenwood University
Nicholas Heye,71.0,Lindenwood University
Elliott Irwin,74.0,Lindenwood University
Matheo Mateos-Mongelos,73.0,Lindenwood University
David Molina-Fregenal,70.0,Lindenwood University
Jake Noble,70.0,Lindenwood University
Jose Ochoa,69.0,Lindenwood University
